Sector,Number of Companies,Avg Market Cap ($B),Avg Forward P/E,Median Forward P/E,Avg Trailing P/E,Median Trailing P/E,Avg Price to Book,Median Price to Book,Avg Profit Margins,Median Profit Margins,Avg Operating Margins,Median Operating Margins
Industrials,70,54.61,25.98,20.53,30.58,29.63,8.92,5.26,0.12,0.12,0.18,0.18
Healthcare,61,86.25,19.45,14.89,69.99,34.17,8.23,4.08,0.1,0.09,0.18,0.17
Technology,82,206.89,26.03,23.29,59.23,35.15,13.51,7.46,0.18,0.18,0.22,0.2
Utilities,32,40.29,18.5,17.83,22.94,19.89,3.27,1.95,0.13,0.14,0.25,0.23
Financial Services,67,95.04,16.48,13.6,inf,17.46,4.73,2.14,0.19,0.19,0.27,0.29
Basic Materials,22,40.03,18.86,16.84,24.76,18.59,3.52,1.85,0.09,0.09,0.13,0.15
Consumer Cyclical,55,114.5,20.93,17.82,26.2,22.85,8.11,5.81,0.11,0.1,0.18,0.14
Real Estate,31,34.81,46.7,38.07,57.29,37.87,4.33,2.58,0.2,0.18,0.3,0.3
Communication Services,22,357.82,18.5,17.84,31.03,24.6,8.91,2.77,0.06,0.09,0.19,0.23
Consumer Defensive,36,86.62,17.34,16.06,27.57,21.34,19.95,4.2,0.1,0.07,0.16,0.16
Energy,22,79.96,15.44,14.18,20.84,14.69,4.38,2.29,0.18,0.15,0.2,0.21
